Array Size,Average Time (ms)
0,3e-06
10,4.7e-05
20,0.000225
30,0.000699
40,0.001461
50,0.002252
60,0.002287
70,0.003537
80,0.005438
90,0.006385
100,0.008478
110,0.010129
120,0.011734
130,0.013939
140,0.015817
150,0.019859
160,0.019291
170,0.021891
180,0.025217
190,0.027118
200,0.030442
210,0.036274
220,0.038489
230,0.03934
240,0.048485
250,0.056262
260,0.053783
270,0.066207
280,0.072142
290,0.070039
300,0.089803
310,0.097473
320,0.099984
330,0.100094
340,0.11603
350,0.176575
360,0.169901
370,0.123565
380,0.247641
390,0.245294
400,0.322855
410,0.249624
420,0.282729
430,0.282919
440,0.252969
450,0.196826
460,0.207256
470,0.199958
480,0.224956
490,0.21678
500,0.228299
510,0.217526
520,0.451282
530,0.435483
540,0.864636
550,0.61767
560,0.48497
570,0.445737
580,0.508826
590,0.50477
600,0.404079
610,0.42708
620,0.447151
630,0.424076
640,0.380872
650,0.382303
660,0.440468
670,0.493351
680,0.416742
690,0.466224
700,0.447933
710,0.507284
720,0.504137
730,0.539815
740,0.592685
750,1.31657
760,0.717132
770,0.592456
780,0.57172
790,0.633373
800,0.577774
810,0.592766
820,0.551546
830,0.546377
840,0.563313
850,0.594797
860,0.695994
870,0.723531
880,0.717544
890,0.692064
900,0.735887
910,0.679216
920,0.663391
930,0.85215
940,0.798696
950,0.795467
960,0.819408
970,0.777606
980,0.817944
990,1.09078
1000,0.874867
