Array Size,Average Time (ms)
0,1e-06
10,0.000219
20,0.004117
30,0.001239
40,0.002453
50,0.002593
60,0.004584
70,0.004597
80,0.004466
90,0.006028
100,0.006726
110,0.007873
120,0.009483
130,0.010165
140,0.011861
150,0.012264
160,0.013391
170,0.013433
180,0.017781
190,0.017138
200,0.014718
210,0.017171
220,0.018538
230,0.022511
240,0.021954
250,0.020855
260,0.024858
270,0.02184
280,0.029774
290,0.030506
300,0.027833
310,0.029282
320,0.029927
330,0.032005
340,0.032639
350,0.034252
360,0.033465
370,0.042068
380,0.056014
390,0.055143
400,0.04962
410,0.053693
420,0.058269
430,0.053675
440,0.096242
450,0.08294
460,0.073973
470,0.09355
480,0.086951
490,0.080401
500,0.085096
510,0.069841
520,0.07596
530,0.057435
540,0.065516
550,0.072712
560,0.06533
570,0.071817
580,0.087814
590,0.086392
600,0.088964
610,0.098541
620,0.099339
630,0.09772
640,0.093367
650,0.088314
660,0.104265
670,0.110754
680,0.103716
690,0.098106
700,0.100678
710,0.099755
720,0.10612
730,0.098988
740,0.108918
750,0.10139
760,0.096807
770,0.163
780,0.252257
790,0.203801
800,0.107065
810,0.126466
820,0.10489
830,0.129939
840,0.129328
850,0.140008
860,0.133422
870,0.148389
880,0.15601
890,0.146315
900,0.128627
910,0.141556
920,0.133985
930,0.213436
940,0.285265
950,0.211458
960,0.19905
970,0.214212
980,0.190151
990,0.181554
1000,0.144494
