Array Size,Average Time (ms)
0,3e-06
10,7.3e-05
20,0.00126
30,0.001211
40,0.001181
50,0.001719
60,0.002372
70,0.004138
80,0.002977
90,0.003218
100,0.006076
110,0.004711
120,0.006003
130,0.007493
140,0.00656
150,0.009044
160,0.011262
170,0.008708
180,0.011038
190,0.019702
200,0.010489
210,0.012207
220,0.013389
230,0.015082
240,0.025635
250,0.022887
260,0.020898
270,0.020911
280,0.019583
290,0.025212
300,0.023591
310,0.027275
320,0.033274
330,0.029592
340,0.029989
350,0.030532
360,0.036046
370,0.040437
380,0.031324
390,0.04119
400,0.0367
410,0.042605
420,0.041193
430,0.046423
440,0.046609
450,0.047765
460,0.046907
470,0.06033
480,0.049838
490,0.050582
500,0.046234
510,0.04806
520,0.04963
530,0.059305
540,0.05852
550,0.069298
560,0.089992
570,0.074834
580,0.077338
590,0.105149
600,0.079347
610,0.077273
620,0.073936
630,0.075137
640,0.081084
650,0.088782
660,0.079001
670,0.075329
680,0.082308
690,0.080405
700,0.079302
710,0.088345
720,0.087518
730,0.090893
740,0.090172
750,0.097131
760,0.0893
770,0.097474
780,0.103014
790,0.125872
800,0.134567
810,0.134848
820,0.130031
830,0.107459
840,0.108134
850,0.107279
860,0.123541
870,0.106409
880,0.11099
890,0.114624
900,0.121497
910,0.108849
920,0.119566
930,0.118496
940,0.114934
950,0.116185
960,0.12983
970,0.130264
980,0.134037
990,0.137285
1000,0.129788
