Array Size,Average Time (ms)
0,0
10,0.0031
20,0.02496
30,0.0846
40,0.13134
50,0.27748
60,0.2872
70,0.70464
80,0.9834
90,0.8034
100,2.22556
110,5.07712
120,4.7185
130,3.42172
140,2.75314
150,7.1223
160,7.53234
170,9.0112
180,9.23116
190,7.94736
200,7.24636
210,7.25036
220,22.5871
230,22.2543
240,35.7022
250,26.3133
260,19.6478
270,20.1956
280,22.918
290,23.3201
300,21.6179
310,19.5067
320,65.8574
330,62.8673
340,64.6471
350,80.5619
360,101.177
370,70.4109
380,66.6028
390,69.4413
400,66.4218
410,72.6189
420,67.8876
430,60.5739
440,73.9998
450,81.7666
460,66.9548
470,65.5181
480,207.003
490,184.759
500,223.901
510,213.053
520,207.399
530,184.337
540,217.979
550,193.278
560,196.487
570,196.372
580,186.03
590,184.975
600,186.095
