year,title
1951,I Love Lucy
1955,The Honeymooners
1955,The Phil Silvers Show
1961,The Dick Van Dyke Show
1964,Bewitched
1965,Get Smart
1970,The Mary Tyler Moore Show
1970,The Odd Couple
1971,All in the Family
1972,M*A*S*H
1972,El Chavo del Ocho
1972,The Bob Newhart Show
1975,Fawlty Towers
1975,Barney Miller
1977,Soap
1977,Mind Your Language
1978,Taxi
1980,Yes Minister
1981,Only Fools and Horses
1982,Cheers
1982,Police Squad!
1982,Family Ties
1984,Night Court
1984,The Cosby Show
1985,The Golden Girls
1987,Married... with Children
1988,Red Dwarf
1988,Murphy Brown
1989,The Simpsons
1989,Seinfeld
1990,Mr. Bean
1990,The Fresh Prince of Bel-Air
1992,The Larry Sanders Show
1993,Frasier
1994,Friends
1995,Father Ted
1996,Everybody Loves Raymond
1996,3rd Rock from the Sun
1997,South Park
1998,That '70s Show
1998,Will & Grace
1998,Sports Night
1998,Sex and the City
1999,Family Guy
1999,Futurama
1999,Spaced
2000,Malcolm in the Middle
2000,Curb Your Enthusiasm
2000,Coupling
2001,Scrubs
2002,Still Game
2003,Arrested Development
2003,Two and a Half Men
2003,Peep Show
2003,The Venture Bros.
2004,Sarabhai V/S Sarabhai
2005,How I Met Your Mother
2005,The Office
2005,It's Always Sunny in Philadelphia
2005,My Name Is Earl
2005,The Thick of It
2005,The Boondocks
2006,30 Rock
2006,The IT Crowd
2007,The Big Bang Theory
2007,Flight of the Conchords
2009,Modern Family
2009,Archer
2009,Community
2009,Parks and Recreation
2009,Eastbound & Down
2009,The League
2010,Louie
2010,Blue Mountain State
2011,New Girl
2011,Bob's Burgers
2011,Friends with Benefits
2012,Veep
2012,Gravity Falls
2013,The Millers
2013,Brooklyn Nine-Nine
2014,Silicon Valley
2014,Detectorists
2014,Broad City
2014,BoJack Horseman
2014,Transparent
