"","movie","gross","year","gross_millions"
"1","Star Wars: Episode VII - The Force Awakens","$936.66M",2015,936.66
"2","Jurassic World","$652.27M",2015,652.27
"3","Avengers: Age of Ultron","$459.01M",2015,459.01
"4","Inside Out","$356.46M",2015,356.46
"5","Furious 7","$353.01M",2015,353.01
"6","Minions","$336.05M",2015,336.05
"7","The Hunger Games: Mockingjay - Part 2","$281.72M",2015,281.72
"8","The Martian","$228.43M",2015,228.43
"9","Cinderella","$201.15M",2015,201.15
"10","Spectre","$200.07M",2015,200.07
"11","Mission: Impossible - Rogue Nation","$195.04M",2015,195.04
"12","Pitch Perfect 2","$184.30M",2015,184.3
"13","The Revenant","$183.64M",2015,183.64
"14","Ant-Man","$180.20M",2015,180.2
"15","Home","$177.40M",2015,177.4
"16","Hotel Transylvania 2","$169.70M",2015,169.7
"17","Fifty Shades of Grey","$166.17M",2015,166.17
"18","The SpongeBob Movie: Sponge Out of Water","$162.99M",2015,162.99
"19","Straight Outta Compton","$161.20M",2015,161.2
"20","San Andreas","$155.19M",2015,155.19
"21","Mad Max: Fury Road","$154.06M",2015,154.06
"22","Daddy's Home","$150.36M",2015,150.36
"23","The Divergent Series: Insurgent","$130.18M",2015,130.18
"24","The Peanuts Movie","$130.18M",2015,130.18
"25","The Good Dinosaur","$123.09M",2015,123.09
"26","Spy","$110.83M",2015,110.83
"27","Trainwreck","$110.21M",2015,110.21
"28","Creed","$109.77M",2015,109.77
"29","Tomorrowland","$93.44M",2015,93.44
"30","Get Hard","$90.41M",2015,90.41
"31","Terminator Genisys","$89.76M",2015,89.76
"32","Sisters","$87.04M",2015,87.04
"33","Alvin and the Chipmunks: The Road Chip","$85.89M",2015,85.89
"34","Maze Runner: The Scorch Trials","$81.70M",2015,81.7
"35","Ted 2","$81.48M",2015,81.48
"36","Goosebumps","$80.08M",2015,80.08
"37","Pixels","$78.75M",2015,78.75
"38","The Intern","$75.76M",2015,75.76
"39","Bridge of Spies","$72.31M",2015,72.31
"40","Paul Blart: Mall Cop 2","$71.04M",2015,71.04
"41","The Big Short","$70.26M",2015,70.26
"42","War Room","$67.79M",2015,67.79
"43","Magic Mike XXL","$66.01M",2015,66.01
"44","The Visit","$65.21M",2015,65.21
"45","The Wedding Ringer","$64.46M",2015,64.46
"46","Black Mass","$62.58M",2015,62.58
"47","Vacation","$58.88M",2015,58.88
"48","The Perfect Guy","$57.02M",2015,57.02
