speakers,episode_tittle,season,episode
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
CAESAR,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
KIRK,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LANE,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
PARIS,04x15 - Scene in a Mall,4,15
RORY,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
LORELAI,04x15 - Scene in a Mall,4,15
LUKE,04x15 - Scene in a Mall,4,15
